id	ten	gia	review_count	phanloai	thuonghieu	sku	mota	url_image
58357614	Đèn bắt muỗi, ruồi và các loại côn trùng Con Dơi	389000	343	Nhà Cửa - Đời Sống/Đèn & thiết bị chiếu sáng/Đèn diệt côn trùng	CON DƠI	3432364889774		https://salt.tikicdn.com/cache/280x280/ts/product/1a/1c/ec/05d236e25ea2a8dbbc2f4d947d3bd25f.png
43346095	Khăn Tắm Hàn Quốc, Siêu Thấm Hút, Khử Mùi Kháng Khuẩn, Mềm Mại, Sợi Bông Cao Cấp, Vải Dày Mạng Lại Sự Mềm Mịn Ấm Áp Cho Người Sử Dụng, Bảo Vệ Tốt Nhất Cho Người Dùng	65000	1	Nhà Cửa - Đời Sống/Đồ dùng và thiết bị nhà tắm/Khăn	OEM	7744700944594		https://salt.tikicdn.com/cache/280x280/ts/product/54/ff/2f/7f38ec323b60a0460ac62106d0675172.jpg
14448546	Bình Gas Bơm Bật Lửa BlueSky	46000	14	Nhà Cửa - Đời Sống/Dụng cụ nhà bếp/Bếp nướng, vỉ nướng/Than, cồn & Dụng cụ mồi lửa	OEM	3317024827610		https://salt.tikicdn.com/cache/280x280/ts/product/ca/95/e0/451e93a2d94e6019f1db753998ecfe71.jpg
46767962	Combo 5 GIỎ SẮT Treo Chậu Hoa Ban Công Hình Tròn - Màu Đen	130900	12	Nhà Cửa - Đời Sống/Ngoài trời & sân vườn/Hoa tươi, Cây cảnh & Hạt giống/Phụ kiện cây & hoa	OEM	7006924900689		https://salt.tikicdn.com/cache/280x280/ts/product/c4/4b/8f/a173964e0a29bc31f1cdd080ad4675bd.jpg
467912	Máy Khoan Động Lực Bosch GSB 550 Set Và Bộ Dụng Cụ 100 Chi Tiết	1475000	1	Nhà Cửa - Đời Sống/Sửa chữa nhà cửa/Các loại máy và phụ kiện/Máy khoan, mũi khoan	Bosch 	1273756821437		https://salt.tikicdn.com/cache/280x280/ts/product/dd/f8/79/e67e711ea310e5a0baa4fd06db8ddbd9.jpg
59339183	COMBO 2 Thanh xốp chắn khe cửa đa năng thông minh	77000	1	Nhà Cửa - Đời Sống/Sửa chữa nhà cửa/Dụng cụ sửa chữa khác/Khác	OEM	5404553812960		https://salt.tikicdn.com/cache/280x280/ts/product/21/38/ab/fd1aebbab0b6a84ad50ee1d293bcdd04.jpg
73566076	Cây Lau Nhà Kitimop-Red Tự Vắt Thông Minh Xoay 360 Độ - Hàng Chính Hãng Cao Cấp – Tặng Thêm 1 Miếng Lau Sơ Cua	119000	207	Nhà Cửa - Đời Sống/Đồ dùng và thiết bị nhà tắm/Dụng cụ lau nhà/Chổi, cây lau nhà	Kitimop	4791019525955		https://salt.tikicdn.com/cache/280x280/ts/product/51/89/f8/670b73de3e75c5fb24a55b3d921b1a94.jpg
51406882	Bộ 10 Miếng Xốp Dán Tường Giả Gạch 3D (70 x 77cm)	109000	0	Nhà Cửa - Đời Sống/Trang trí nhà cửa/Decal & giấy dán tường	OEM	5231791592879		https://salt.tikicdn.com/cache/280x280/ts/product/99/63/9d/c6825697682027b7ce7e313cd26b4898.jpg
51915247	Combo 200 túi lọc rác bồn rửa bát	42500	1	Nhà Cửa - Đời Sống/Dụng cụ nhà bếp/Phụ kiện nhà bếp/Phụ kiện nhà bếp khác	OEM	7481888722377		https://salt.tikicdn.com/cache/280x280/ts/product/c7/7a/4c/4430329377554e4981ff2549d7ae0443.png
13309021	Chiếu trúc thanh Tây Bắc - Cao Bằng Việt Nam	136320	42	Nhà Cửa - Đời Sống/Đồ dùng phòng ngủ/Phụ kiện phòng ngủ/Chiếu	OEM	3206515875868		https://salt.tikicdn.com/cache/280x280/ts/product/f4/0b/b9/e56548d1559c8c8a9f2c5442d3e2e700.png
